tissue	number_transcript	tissue_matched	color
Muscle	41397	GTEx-matched tissue	#b5b5b6
Aortic arch	34884	uncharacterized tissue in GTEx	#4a6da6
Lymph node	31157	uncharacterized tissue in GTEx	#4a6da6
Lung apex	39020	GTEx-matched tissue	#b5b5b6
Spleen	50761	GTEx-matched tissue	#b5b5b6
Trachea	19240	uncharacterized tissue in GTEx	#4a6da6
Heart right ventricle	34411	uncharacterized tissue in GTEx	#4a6da6
Whole blood	38753	GTEx-matched tissue	#b5b5b6
Adipose	49501	GTEx-matched tissue	#b5b5b6
Diaphragm	37420	uncharacterized tissue in GTEx	#4a6da6
Pancreas head	21014	GTEx-matched tissue	#b5b5b6
Heart tricuspid valve	33647	uncharacterized tissue in GTEx	#4a6da6
Liver	39072	GTEx-matched tissue	#b5b5b6
Small intestine	34244	GTEx-matched tissue	#b5b5b6
Heart left ventricle	31173	GTEx-matched tissue	#b5b5b6
Lung base	31944	GTEx-matched tissue	#b5b5b6
Adrenal gland	50840	GTEx-matched tissue	#b5b5b6
Pancreas body	33609	GTEx-matched tissue	#b5b5b6
Thoracic aorta	27150	GTEx-matched tissue	#b5b5b6
Colon	41054	GTEx-matched tissue	#b5b5b6
Esophagus	49713	GTEx-matched tissue	#b5b5b6
Skin	54341	GTEx-matched tissue	#b5b5b6
Heart left atrium	32003	uncharacterized tissue in GTEx	#4a6da6
Gallbladder	45386	uncharacterized tissue in GTEx	#4a6da6
Heart mitral valve	30094	uncharacterized tissue in GTEx	#4a6da6
Prostate	39309	GTEx-matched tissue	#b5b5b6
Heart right atrium	33597	GTEx-matched tissue	#b5b5b6
Stomach	31945	GTEx-matched tissue	#b5b5b6
Pancreas tail	23228	GTEx-matched tissue	#b5b5b6
Uterus	33069	GTEx-matched tissue	#b5b5b6
Common iliac artery	27144	uncharacterized tissue in GTEx	#4a6da6
Abdominal aorta	29154	uncharacterized tissue in GTEx	#4a6da6
Ovary	24465	GTEx-matched tissue	#b5b5b6
