tissue	gene_gencode	gene_enhanced	transcript_gencode	transcript_enhanced	color
Abdominal aorta	31630	34086	114474	133216	#cbc5d3
Adipose	32831	35331	127080	153589	#E59525
Adrenal gland	31659	34035	127345	152577	#A8D650
Aortic arch	29736	31997	112648	132524	#758E90
Colon	31166	33443	123301	146676	#E7C08D
Common iliac artery	27441	29475	103223	118019	#d0d1e6
Diaphragm	33176	35841	122156	148961	#00CED1
Esophagus	33299	35766	136801	167547	#AF8C5C
Gallbladder	33932	36544	133706	161219	#8F8495
Heart left atrium	30674	33051	120542	143824	#6F1F71
Heart left ventricle	30412	32776	122068	146887	#9C5CA1
Heart mitral valve	34375	36918	132657	159990	#BA91BC
Heart right atrium	31568	34007	123245	147258	#8466A6
Heart right ventricle	31173	33593	123516	148797	#A780A0
Heart tricuspid valve	34631	37211	134703	163729	#9F98BF
Liver	29183	31435	111989	132055	#69AE6A
Lung apex	32899	35350	131409	158735	#76ADB8
Lung base	34070	36607	139603	170538	#AECBD1
Lymph node	35682	38278	145978	178723	#ACAA95
Muscle	29964	32424	114589	138853	#7080BD
Ovary	34492	37084	133791	159896	#DF898D
Pancreas body	29075	31664	111484	130191	#902222
Pancreas head	29152	31738	111268	129542	#AB5F2C
Pancreas tail	28889	31484	110403	128597	#E59276
Prostate	39343	42193	158307	194010	#0CE3C3
Skin	35119	37851	135530	164485	#3A71A4
Small intestine	34244	36808	139783	170409	#535426
Spleen	32627	35048	131487	157634	#768454
Stomach	32492	34997	126633	151499	#F8D895
Thoracic aorta	30505	32765	121427	145579	#7e888e
Trachea	26534	28653	86535	98898	#D285A5
Uterus	31668	33983	126487	150659	#E35656
Whole blood	26091	27695	96719	111445	#CC418D
